id,institution,topic,count
0,Boston University,Statistical Mechanics,279
1,Boston University,Probability,117
2,Boston University,Physics and Society,84
3,Boston University,High Energy Physics - Theory,62
4,Boston University,Quantum Physics,56
5,Boston University,Information Theory,55
6,Boston University,Optics,53
7,Boston University,High Energy Physics - Phenomenology,47
8,Boston University,Machine Learning,41
9,Boston University,"Data Analysis, Statistics and Probability",37
10,Boston University,Strongly Correlated Electrons,36
11,Boston University,Computer Vision and Pattern Recognition,35
12,Boston University,High Energy Physics - Lattice,35
13,Boston University,Statistics Theory,28
14,Boston University,Soft Condensed Matter,22
15,Boston University,Methodology,21
16,Boston University,Mesoscale and Nanoscale Physics,21
17,Boston University,Populations and Evolution,21
18,Boston University,Computer Science and Game Theory,19
19,Boston University,Differential Geometry,18
20,Boston University,Computational Complexity,17
21,Boston University,Algebraic Topology,17
22,Boston University,Optimization and Control,17
23,Boston University,Astrophysics of Galaxies,15
24,Boston University,General Relativity and Quantum Cosmology,14
25,Boston University,"Distributed, Parallel, and Cluster Computing",14
26,Boston University,Machine Learning,13
27,Boston University,Systems and Control,11
28,Boston University,Mathematical Physics,11
29,Boston University,Robotics,11
30,Boston University,Solar and Stellar Astrophysics,11
31,Boston University,Cryptography and Security,10
32,Boston University,Cosmology and Nongalactic Astrophysics,10
33,Boston University,Networking and Internet Architecture,10
34,Boston University,Computation and Language,10
35,Boston University,Data Structures and Algorithms,10
36,Boston University,High Energy Astrophysical Phenomena,9
37,Boston University,Materials Science,9
38,Boston University,Quantitative Methods,9
39,Boston University,Signal Processing,8
40,Boston University,Disordered Systems and Neural Networks,8
41,Boston University,Quantum Gases,8
42,Boston University,Algebraic Geometry,8
43,Boston University,Earth and Planetary Astrophysics,8
44,Boston University,Pattern Formation and Solitons,8
45,Boston University,Atomic Physics,7
46,Boston University,Numerical Analysis,7
47,Boston University,Software Engineering,7
48,Boston University,Geometric Topology,7
49,Boston University,Chemical Physics,7
50,Boston University,Accelerator Physics,6
51,Boston University,Superconductivity,6
52,Boston University,Programming Languages,6
53,Boston University,Physics Education,6
54,Boston University,Representation Theory,6
55,Boston University,Instrumentation and Detectors,6
56,Boston University,Fluid Dynamics,6
57,Boston University,General Finance,6
58,Boston University,Human-Computer Interaction,6
59,Boston University,Social and Information Networks,5
60,Boston University,High Energy Physics - Experiment,5
61,Boston University,Functional Analysis,5
62,Boston University,Other Condensed Matter,5
63,Boston University,Statistical Finance,5
64,Boston University,Combinatorics,5
65,Boston University,Artificial Intelligence,5
66,Boston University,Analysis of PDEs,5
67,Boston University,Other Computer Science,5
68,Boston University,Chaotic Dynamics,4
69,Boston University,General Physics,4
70,Boston University,Image and Video Processing,4
71,Boston University,Classical Physics,4
72,Boston University,Plasma Physics,4
73,Boston University,Sound,4
74,Boston University,Databases,4
75,Boston University,Computational Physics,3
76,Boston University,Molecular Networks,3
77,Boston University,Number Theory,3
78,Boston University,Neural and Evolutionary Computing,3
79,Boston University,Adaptation and Self-Organizing Systems,3
80,Boston University,Biological Physics,3
81,Boston University,Cell Behavior,3
82,Boston University,Applications,3
83,Boston University,Nuclear Experiment,3
84,Boston University,Popular Physics,3
85,Boston University,Discrete Mathematics,2
86,Boston University,Applied Physics,2
87,Boston University,Hardware Architecture,2
88,Boston University,Operating Systems,2
89,Boston University,Performance,2
90,Boston University,Instrumentation and Methods for Astrophysics,2
91,Boston University,Systems and Control,2
92,Boston University,Information Retrieval,2
93,Boston University,Dynamical Systems,2
94,Boston University,Medical Physics,2
95,Boston University,Multimedia,1
96,Boston University,Computers and Society,1
97,Boston University,Multiagent Systems,1
98,Boston University,Logic,1
99,Boston University,Quantum Algebra,1
100,Boston University,Risk Management,1
101,Boston University,Atmospheric and Oceanic Physics,1
102,Boston University,Digital Libraries,1
103,Boston University,Economics,1
104,Boston University,Trading and Market Microstructure,1
105,Boston University,Formal Languages and Automata Theory,1
106,Boston University,Complex Variables,1
107,Boston University,Numerical Analysis,1
108,Boston University,Symbolic Computation,1
109,Boston University,History and Philosophy of Physics,1
110,Boston University,Space Physics,1
111,Boston University,Audio and Speech Processing,1
112,Carnegie Mellon University,High Energy Physics - Phenomenology,388
113,Carnegie Mellon University,Machine Learning,216
114,Carnegie Mellon University,Computer Vision and Pattern Recognition,178
115,Carnegie Mellon University,Methodology,169
116,Carnegie Mellon University,Statistics Theory,154
117,Carnegie Mellon University,High Energy Physics - Theory,133
118,Carnegie Mellon University,Information Theory,123
119,Carnegie Mellon University,Materials Science,101
120,Carnegie Mellon University,Computation and Language,94
121,Carnegie Mellon University,Mesoscale and Nanoscale Physics,91
122,Carnegie Mellon University,Nuclear Theory,89
123,Carnegie Mellon University,Data Structures and Algorithms,88
124,Carnegie Mellon University,Applications,86
125,Carnegie Mellon University,Machine Learning,85
126,Carnegie Mellon University,Artificial Intelligence,84
127,Carnegie Mellon University,Signal Processing,74
128,Carnegie Mellon University,Differential Geometry,70
129,Carnegie Mellon University,Optimization and Control,63
130,Carnegie Mellon University,Combinatorics,63
131,Carnegie Mellon University,Analysis of PDEs,60
132,Carnegie Mellon University,Cryptography and Security,58
133,Carnegie Mellon University,Strongly Correlated Electrons,58
